t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.3587496280670166,-1.3371576070785522,-2.330500841140747,-3.0775656700134277,-3.2049720287323	2.85,-0.01750000000000007,3.0371665731846336	-36.91127896308899,-134.44727659225464,-233.11102390289307,-307.78703689575195,-320.2838659286499	1.0592137575149536,1.085958480834961,1.098797082901001,0.7789764404296875,0.3217601478099823
240	-0.3691127896308899,-1.3444727659225464,-2.3311102390289307,-3.0778703689575195,-3.202838659286499	2.78,-0.019999999999999907,3.0543320154076627	-38.06951940059662,-135.33120155334473,-233.4463119506836,-307.63466358184814,-320.2838659286499	1.0475661754608154,1.0767598152160645,1.094003438949585,0.7741034626960754,0.3235614001750946
240	-0.3806951940059662,-1.3533120155334473,-2.334463119506836,-3.0763466358184814,-3.202838659286499	2.7,0.022499999999999964,3.0108534658919393	-37.49040067195892,-136.30656003952026,-233.9949607849121,-307.7565670013428,-319.94855403900146	1.072750210762024,1.0653507709503174,1.085939884185791,0.7748419046401978,0.3181472718715668
240	-0.37490400671958923,-1.3630656003952026,-2.339949607849121,-3.0775656700134277,-3.1994855403900146	2.79,0.03500000000000003,3.0685450190184045	-35.99688112735748,-137.00759410858154,-234.72650051116943,-307.6956033706665,-320.2228784561157	1.1007001399993896,1.0649223327636719,1.0789613723754883,0.7630109190940857,0.3249911069869995
240	-0.35996881127357483,-1.3700759410858154,-2.3472650051116943,-3.076956033706665,-3.2022287845611572	2.93,0.03749999999999998,2.971440172766937	-34.076640009880066,-136.85519695281982,-235.48848628997803,-308.21378231048584,-319.76568698883057	1.1234341859817505,1.0747689008712769,1.068951964378357,0.7655540108680725,0.31346017122268677
240	-0.34076640009880066,-1.3685519695281982,-2.3548848628997803,-3.0821378231048584,-3.1976568698883057	3.08,0.03500000000000003,3.0200468411847035	-32.186880707740784,-136.032235622406,-236.0980749130249,-308.18328857421875,-320.1314449310303	1.141404151916504,1.0938583612442017,1.0691896677017212,0.7453218698501587,0.31956735253334045
240	-0.32186880707740784,-1.36032235622406,-2.360980749130249,-3.0818328857421875,-3.2013144493103027	3.22,0.03749999999999998,2.911806806569103	-30.11423945426941,-134.6301555633545,-236.128568649292,-308.8233709335327,-319.79615688323975	1.158281683921814,1.1110336780548096,1.0727417469024658,0.7480190992355347,0.3073103129863739
240	-0.3011423945426941,-1.346301555633545,-2.36128568649292,-3.088233709335327,-3.1979615688323975	3.37,0.03749999999999998,2.9675717291026205	-28.041601181030273,-133.014714717865,-235.67135334014893,-308.6709499359131,-320.40576934814453	1.173658847808838,1.1308963298797607,1.086398959159851,0.7321821451187134,0.31475841999053955
240	-0.28041601181030273,-1.33014714717865,-2.3567135334014893,-3.086709499359131,-3.2040576934814453	3.52,-0.022499999999999964,2.8885796938522526	-28.1330406665802,-131.09447956085205,-234.69600677490234,-309.0062379837036,-320.2838659286499	1.1450908184051514,1.1478393077850342,1.1005810499191284,0.7452797889709473,0.3060802221298218
240	-0.281330406665802,-1.3109447956085205,-2.3469600677490234,-3.090062379837036,-3.202838659286499	3.43,-0.057499999999999996,2.883650111896309	-30.327600240707397,-129.7533631324768,-233.35487842559814,-308.6100101470947,-320.3143119812012	1.103196144104004,1.151380181312561,1.117593765258789,0.746826171875,0.305625319480896
240	-0.303276002407074,-1.297533631324768,-2.3335487842559814,-3.0861001014709473,-3.2031431198120117	3.2,-0.05500000000000005,3.016768909767522	-33.131760358810425,-129.66192960739136,-231.89184665679932,-307.96992778778076,-320.9848880767822	1.0713483095169067,1.1368917226791382,1.1337552070617676,0.7550309300422668,0.3214511275291443
240	-0.33131760358810425,-1.2966192960739136,-2.318918466567993,-3.0796992778778076,-3.2098488807678223	2.98,-0.057499999999999996,3.0268583324732963	-36.24072074890137,-130.6982398033142,-230.7640790939331,-307.78703689575195,-320.95439434051514	1.0368528366088867,1.1139781475067139,1.1355810165405273,0.7849106788635254,0.32243743538856506
240	-0.36240720748901367,-1.306982398033142,-2.307640790939331,-3.0778703689575195,-3.2095439434051514	2.75,-0.05500000000000005,3.078266569281117	-39.68496322631836,-132.5270414352417,-230.42879104614258,-307.146954536438,-320.8629846572876	1.0070093870162964,1.088779091835022,1.1277450323104858,0.7967478036880493,0.3276282548904419
240	-0.3968496322631836,-1.325270414352417,-2.304287910461426,-3.07146954536438,-3.208629846572876	2.53,-0.057499999999999996,3.0781862017287063	-43.95216107368469,-134.90447998046875,-230.88600635528564,-306.84218406677246,-320.3143119812012	0.9812037348747253,1.0601128339767456,1.1125749349594116,0.8070897459983826,0.32618388533592224
240	-0.4395216107368469,-1.3490447998046875,-2.3088600635528564,-3.0684218406677246,-3.2031431198120117	2.3,0.0675,3.1281323465761934	-42.27575957775116,-137.80007362365723,-232.07471370697021,-306.5373659133911,-319.97904777526855	1.066808819770813,1.025923490524292,1.0936628580093384,0.8008723258972168,0.3305905759334564
240	-0.4227575957775116,-1.3780007362365723,-2.320747137069702,-3.065373659133911,-3.1997904777526855	2.57,0.09000000000000008,3.147751951071633	-37.42944300174713,-139.81175422668457,-233.87303352355957,-306.720232963562,-319.7351932525635	1.1256078481674194,1.0305298566818237,1.0706220865249634,0.7922689318656921,0.3320535719394684
240	-0.3742944300174713,-1.3981175422668457,-2.3387303352355957,-3.06720232963562,-3.1973519325256348	2.93,0.08749999999999991,2.987323024699079	-32.583120465278625,-139.59839344024658,-235.97617149353027,-307.39080905914307,-318.66841316223145	1.1696940660476685,1.05803644657135,1.0438411235809326,0.7818351984024048,0.31239110231399536
240	-0.32583120465278625,-1.3959839344024658,-2.3597617149353027,-3.0739080905914307,-3.1866841316223145	3.28,0.08750000000000002,3.078816502086652	-27.950161695480347,-137.49529123306274,-237.50016689300537,-307.42130279541016,-319.1256046295166	1.208794355392456,1.0963091850280762,1.0436288118362427,0.7385352253913879,0.3231925368309021
240	-0.27950161695480347,-1.3749529123306274,-2.3750016689300537,-3.0742130279541016,-3.191256046295166	3.63,0.09000000000000008,2.9075014097786815	-23.04287999868393,-133.99007320404053,-237.8049612045288,-308.6405038833618,-318.66841316223145	1.2388920783996582,1.1424000263214111,1.0506306886672974,0.734939694404602,0.30412915349006653
240	-0.2304287999868393,-1.3399007320404053,-2.378049612045288,-3.086405038833618,-3.1866841316223145	3.99,0.08749999999999991,3.024739455502704	-18.318480253219604,-129.87529039382935,-236.8905544281006,-308.54904651641846,-320.0705051422119	1.2627404928207397,1.1879265308380127,1.083356499671936,0.704325258731842,0.3199397921562195
240	-0.18318480253219604,-1.2987529039382935,-2.368905544281006,-3.0854904651641846,-3.200705051422119	4.34,-0.007500000000000062,2.69824802836811	-16.764000058174133,-125.24232864379883,-234.4216823577881,-309.67679023742676,-318.9427137374878	1.2279480695724487,1.2183598279953003,1.1179488897323608,0.7344598174095154,0.2827858626842499
240	-0.16764000058174133,-1.2524232864379883,-2.344216823577881,-3.0967679023742676,-3.189427137374878	4.31,-0.047499999999999876,2.978700413747218	-17.922240495681763,-121.82855606079102,-231.09936714172363,-307.81753063201904,-320.74103355407715	1.192177414894104,1.2310067415237427,1.1676807403564453,0.7124024629592896,0.31677913665771484
240	-0.17922240495681763,-1.2182855606079102,-2.3109936714172363,-3.0781753063201904,-3.2074103355407715	4.12,-0.04500000000000004,2.8641834529568464	-19.629119336605072,-120.03023624420166,-227.25887298583984,-307.6651096343994,-320.0400114059448	1.1668139696121216,1.212900161743164,1.1933430433273315,0.7842735648155212,0.30283722281455994
