t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.48097437620162964,-1.4255496263504028,-2.374392032623291,-3.0803089141845703,-3.1979615688323975	2.2,0.007499999999999951,2.9739288608181225	-48.31080138683319,-144.26183700561523,-238.90223503112793,-308.94527435302734,-319.7351932525635	1.0241167545318604,1.0171035528182983,1.0295149087905884,0.7390387058258057,0.31369978189468384
240	-0.4831080138683319,-1.4426183700561523,-2.3890223503112793,-3.0894527435302734,-3.1973519325256348	2.23,0.0050000000000000044,2.878554090469943	-48.219361901283264,-145.72488069534302,-240.39576053619385,-309.6158504486084,-319.8571443557739	1.031672477722168,1.017809271812439,1.0230532884597778,0.7165232300758362,0.30397647619247437
240	-0.48219361901283264,-1.4572488069534302,-2.4039576053619385,-3.096158504486084,-3.1985714435577393	2.25,0.007499999999999951,2.76015665725909	-47.82312214374542,-146.63927555084229,-241.91975593566895,-310.28640270233154,-319.79615688323975	1.0383421182632446,1.0211561918258667,1.0175217390060425,0.7004876732826233,0.29126933217048645
240	-0.4782312214374542,-1.4663927555084229,-2.4191975593566895,-3.1028640270233154,-3.1979615688323975	2.28,0.0050000000000000044,2.6674020171349317	-47.45736122131348,-147.15744256973267,-243.26088428497314,-310.7740879058838,-319.82665061950684	1.040907382965088,1.0268810987472534,1.0142050981521606,0.6812500953674316,0.281523734331131
240	-0.47457361221313477,-1.4715744256973267,-2.4326088428497314,-3.107740879058838,-3.1982665061950684	2.3,0.007500000000000062,2.595472767189129	-46.96968197822571,-147.34032154083252,-244.38862800598145,-311.23130321502686,-319.9180841445923	1.0457578897476196,1.0317811965942383,1.0144671201705933,0.6652734875679016,0.27412477135658264
240	-0.4696968197822571,-1.4734032154083252,-2.4438862800598145,-3.1123130321502686,-3.199180841445923	2.33,0.0050000000000000044,2.5350611373753855	-46.54296040534973,-147.27935791015625,-245.21160125732422,-311.62753105163574,-320.0705051422119	1.0471141338348389,1.0361000299453735,1.0161727666854858,0.6520907878875732,0.26811471581459045
240	-0.4654296040534973,-1.4727935791015625,-2.452116012573242,-3.1162753105163574,-3.200705051422119	2.35,0.015000000000000013,2.4641764145673317	-45.59808075428009,-147.06599712371826,-245.72978019714355,-312.02378273010254,-320.1009511947632	1.0568804740905762,1.0392372608184814,1.017977237701416,0.6434755325317383,0.26066914200782776
240	-0.4559808075428009,-1.4706599712371826,-2.4572978019714355,-3.1202378273010254,-3.201009511947632	2.41,0.020000000000000018,2.4164443132716444	-44.25696134567261,-146.7002511024475,-246.03455066680908,-312.2371435165405,-320.2228784561157	1.0677826404571533,1.0444728136062622,1.0216952562332153,0.6348469257354736,0.25584179162979126
240	-0.4425696134567261,-1.467002511024475,-2.460345506668091,-3.1223714351654053,-3.2022287845611572	2.49,0.01749999999999996,2.370057267814449	-42.854881286621094,-145.99920511245728,-246.12600803375244,-312.4200105667114,-320.2533721923828	1.0726892948150635,1.0513701438903809,1.0252765417099,0.6307611465454102,0.2510322034358978
240	-0.42854881286621094,-1.4599920511245728,-2.4612600803375244,-3.1242001056671143,-3.202533721923828	2.56,0.020000000000000018,2.3457063810726786	-41.36136174201965,-145.05431652069092,-245.9735870361328,-312.4505043029785,-320.2838659286499	1.079618215560913,1.0590711832046509,1.0297927856445312,0.6270115971565247,0.24855104088783264
240	-0.41361361742019653,-1.4505431652069092,-2.459735870361328,-3.124505043029785,-3.202838659286499	2.64,0.020000000000000018,2.33247107469495	-39.77639973163605,-143.89609098434448,-245.57735919952393,-312.4505043029785,-320.2838659286499	1.0843427181243896,1.06592857837677,1.0358972549438477,0.6267958879470825,0.24706780910491943
240	-0.3977639973163605,-1.4389609098434448,-2.4557735919952393,-3.124505043029785,-3.202838659286499	2.72,0.01749999999999996,2.3384142591334487	-38.3133590221405,-142.58544445037842,-244.90680694580078,-312.35904693603516,-320.37527561187744	1.086713194847107,1.0725984573364258,1.0423332452774048,0.6283416152000427,0.24788565933704376
